,Æ¯ÇãÁ¦¸ñ,Æ¯ÇãÄÚµå,Àû¿ë±¹°¡,Inventor,assignee,google patent link,Ãâ¿ø³¯Â¥,pdf link,ÀÎ¿ëÈ½¼ö
24,Determining friction coefficient of a tire/surface interface,US10988142B1,US(2018) / US(2018),Prateek Mehrotra / Christopher D. Gadda,Apple Inc  ,https://patents.google.com/patent/US10988142B1/en,2021-04-27,https://patentimages.storage.googleapis.com/d2/85/9e/8cc8a6018c31cb/US10988142.pdf,3
25,Inductive power transmitter,US20190028148A1,WO(2018) / JP(2017) / DE(2017) / AU(2017) / WO(2017) / KR(2017) / CN(2017) / KR(2017) / US(2018) / US(2019) / AU(2020) / JP(2020) / AU(2021),Jeffrey Douglas Louis,Apple Inc  ,https://patents.google.com/patent/US20190028148A1/en,2019-01-24,https://patentimages.storage.googleapis.com/30/18/ba/6d4f56698d27a1/US20190028148A1.pdf,9
26,Glass fastening and sealing systems,US10562274B1,US(2017) / US(2017) / US(2020),David E. Kingman / Derek C. Scott / Donald R. Monroe / Phil M. Hobson / Juan A. Lazaro / Ibuki Kamei / John Raff / Stephen B. Lynch / Albert J. Golko / Christopher D. Prest / Dale N. Memering / James A. Yurko / Christopher D. Jones,Apple Inc  ,https://patents.google.com/patent/US10562274B1/en,2020-02-18,https://patentimages.storage.googleapis.com/83/e1/24/0609760ac7772c/US10562274.pdf,141
27,Vehicle Video System,US20180082135A1,WO(2017) / DE(2017) / WO(2017) / US(2017) / CN(2017) / US(2020),Jared A. CRAWFORD / Yingen Xiong / Marco Pontil,Apple Inc  ,https://patents.google.com/patent/US20180082135A1/en,2018-03-22,https://patentimages.storage.googleapis.com/d0/db/2b/6fd0c6630ce807/US20180082135A1.pdf,28
28,Apparatus and method to measure slip and velocity,US10948582B1,US(2019) / US(2016) / US(2019),Gabriel M. Hoffmann / Christopher D. Gadda / David A. STRONKS / Ahmad Al-Dahle / Gregory E. Rogers,Apple Inc  ,https://patents.google.com/patent/US10948582B1/en,2021-03-16,https://patentimages.storage.googleapis.com/a1/21/0e/7c96f6fbd08067/US10948582.pdf,36
29,Drag and drop for touchscreen devices,US10860200B2,WO(2017) / US(2017) / US(2017) / US(2017) / US(2017) / WO(2018) / EP(2018) / CN(2018),Bruce D. Nilo / David Rahardja / Michael T. Turner / Kurt A. REVIS / Christopher K. Thomas / Stephen R. Breen / Tyler M. Fox / Emanuele RUDEL / Robert D. BOEHNKE / Tom ADRIAENSSEN / James R. MONTGOMERIE,Apple Inc  ,https://patents.google.com/patent/US10860200B2/en,2020-12-08,https://patentimages.storage.googleapis.com/63/a5/1b/bef2279209d244/US10860200.pdf,45
30,Multi-linkage vehicle door hinge,US11214997B1,(2020),Ali Tavakoli Targhi / Donald R. Monroe / Johan Karlsson / Steven H. Klotz,Apple Inc  ,https://patents.google.com/patent/US11214997B1/en,2022-01-04,https://patentimages.storage.googleapis.com/3e/ee/2b/94a474eec40e96/US11214997.pdf,85
31,Method of displaying virtual information in a view of a real environment,US10916056B2,WO(2015) / CN(2011) / US(2011) / WO(2011) / EP(2011) / US(2015) / US(2021),Peter Meier,Apple Inc  ,https://patents.google.com/patent/US10916056B2/en,2021-02-09,https://patentimages.storage.googleapis.com/da/ea/8d/51c627b7659eba/US10916056.pdf,31
32,Glazed panel heating systems,US10314116B1,US(2017) / US(2017),David E. Kingman / Ibuki Kamei / James R. Wilson / John Raff / Martin Melcher,Apple Inc  ,https://patents.google.com/patent/US10314116B1/en,2019-06-04,https://patentimages.storage.googleapis.com/7a/8e/c3/f611150428294a/US10314116.pdf,26
33,Systems and methods for autonomous vehicle communicati,US20200314614A1,WO(2019) / US(2019) / WO(2020) / CN(2020),Hassnaa Moustafa / Bahareh Sadeghi / Shengbo Xu / Tolga Acikalin / Javier Perez-Ramirez / Richard D. Roberts,Apple Inc  ,https://patents.google.com/patent/US20200314614A1/en,2020-10-01,https://patentimages.storage.googleapis.com/33/05/c9/55086f831e1197/US20200314614A1.pdf,26
34,System with windows,US10730368B1,US(2018) / US(2018) / US(2020),Peter F. Masschelein / Martin Melcher / Derek C. Scott / David E. Kingman,Apple Inc  ,https://patents.google.com/patent/US10730368B1/en,2020-08-04,https://patentimages.storage.googleapis.com/30/ab/f1/2137bce0bdac3b/US10730368.pdf,18
35,Electric motor with bar wound stator and end turn cooling,US10630127B1,US(2018) / US(2018),Dillon J. Thomasson / Kan Zhou / Rui Guan / Yateendra B. Deshpande / William M. Price,Apple Inc  ,https://patents.google.com/patent/US10630127B1/en,2020-04-21,https://patentimages.storage.googleapis.com/00/13/eb/f66a9ab7623817/US10630127.pdf,29
36,Transparent structure with controllable lighting,US10928697B1,US(2019) / US(2016) / US(2018) / US(2019),Clarisse Mazuir / Matthew E. LAST / Ryan J. Garrone / Budhadipta Dan / Khadijeh Bayat / Gregory A. Cohoon / Jack E. Graves,Apple Inc  ,https://patents.google.com/patent/US10928697B1/en,2021-02-23,https://patentimages.storage.googleapis.com/85/22/c7/1e63201905311d/US10928697.pdf,55
37,Radar system including dual receive array,US10446938B1,US(2016) / US(2016),Jian Wang / Gregory E. Rogers,Apple Inc  ,https://patents.google.com/patent/US10446938B1/en,2019-10-15,https://patentimages.storage.googleapis.com/66/93/a6/3deabba58ec2d8/US10446938.pdf,10
38,"Device, Method, and Graphical User Interface for Presenting Vehicular Notifications",US20180334175A1,WO(2018) / EP(2018) / WO(2018) / CN(2018) / US(2018),Andre Boule / Stephen Chick / Thomas R. Powell / Emily Schubert,Apple Inc  ,https://patents.google.com/patent/US20180334175A1/en,2018-11-22,https://patentimages.storage.googleapis.com/75/bc/4a/f27189a2a4f686/US20180334175A1.pdf,9
39,Augmented virtual display,US20180089900A1,US(2017) / US(2017) / US(2017) / US(2019) / US(2020),Mark B. Rober / Sawyer I. Cohen / Daniel Kurz / Tobias Holl / Benjamin B. Lyon / Peter Georg Meier / Jeffrey M. Riepling / Holly Gerhard,Apple Inc  ,https://patents.google.com/patent/US20180089900A1/en,2018-03-29,https://patentimages.storage.googleapis.com/4a/fa/a7/951e65fefd6782/US20180089900A1.pdf,4
40,,US%2Fapple,-,-,-,https://patents.google.com/patent/US%2Fapple/en,-,//www.google.com/,4
41,Efficient connection management in a SAS target,US10089041B2,US(2016) / US(2012) / US(2012) / US(2014) / US(2014) / US(2016),Arie Peled,Apple Inc  ,https://patents.google.com/patent/US10089041B2/en,2018-10-02,https://patentimages.storage.googleapis.com/de/8f/dd/c9616c410031ef/US10089041.pdf,35
42,,US80088588,-,-,-,https://patents.google.com/patent/US80088588/en,-,//www.google.com/,35
43,Light field head-up display,US11163157B1,US(2016) / US(2016),Graham B. Myhre / Hyungryul J. Choi,Apple Inc  ,https://patents.google.com/patent/US11163157B1/en,2021-11-02,https://patentimages.storage.googleapis.com/08/41/0b/ee6a91683c2497/US11163157.pdf,9
44,Partially shared neural networks for multiple tas,US20180157972A1,US(2017) / US(2017),Rui Hu / Kshitiz Garg / Hanlin Goh / Ruslan SALAKHUTDINOV / Nitish Srivastava / Yichuan Tang,Apple Inc  ,https://patents.google.com/patent/US20180157972A1/en,2018-06-07,https://patentimages.storage.googleapis.com/f0/20/1e/f37221f6cae8a1/US20180157972A1.pdf,9
45,System with touch screen displays and head-mounted displays,US10412334B2,US(2019) / US(2017) / US(2019),Seung Wook Kim / Camille Moussette / Adam S. Meyer,Apple Inc  ,https://patents.google.com/patent/US10412334B2/en,2019-09-10,https://patentimages.storage.googleapis.com/be/05/7c/a980b0e888534c/US10412334.pdf,18
46,Hybrid system with a structured-light stereo device and a time of flight device,US10891745B1,US(2018) / US(2018),Daniel E. Potter / Bryce J. Remesch / Chensong He / Xiao Geng,Apple Inc  ,https://patents.google.com/patent/US10891745B1/en,2021-01-12,https://patentimages.storage.googleapis.com/c7/69/ea/0512f5e337633d/US10891745.pdf,14
47,Vehicle floor and subassemblies thereof,US10479413B1,US(2017) / US(2017) / US(2017),Matthew I. Woods / Dustin L. Dequine / Jeffrey M. Riepling,Apple Inc  ,https://patents.google.com/patent/US10479413B1/en,2019-11-19,https://patentimages.storage.googleapis.com/1c/17/5e/e59c897807692b/US10479413.pdf,74
48,Three-dimensional object detection,US10872228B1,US(2018) / US(2018),Yin Zhou / Russell Y. Webb / Luca Ballan / Cuneyt Oncel Tuzel,Apple Inc  ,https://patents.google.com/patent/US10872228B1/en,2020-12-22,https://patentimages.storage.googleapis.com/bb/54/44/a04a42e25e1547/US10872228.pdf,23
49,System and method for dynamic privacy and window tinting,US10843535B1,US(2016) / US(2016),Clarisse Mazuir / Budhadipta Dan / Khadijeh Bayat / Matthew E. LAST / Ryan J. Garrone,Apple Inc  ,https://patents.google.com/patent/US10843535B1/en,2020-11-24,https://patentimages.storage.googleapis.com/0b/aa/21/ad4e810235017f/US10843535.pdf,53
50,Steer-by-wire system with multiple steering actuators,US10787192B1,US(2018) / US(2018),Diomidis KATZOURAKIS / Huibert Mees / Paul W. Choin,Apple Inc  ,https://patents.google.com/patent/US10787192B1/en,2020-09-29,https://patentimages.storage.googleapis.com/71/ef/c0/f1f9781462b99b/US10787192.pdf,54
51,Active near-field communication device facilitation of low power card detection,US11005533B2,US(2019) / US(2019) / US(2021),Vincent Chauvin / Peter M. Agboh / Vusthla Sunil Reddy / Xinping ZENG,Apple Inc  ,https://patents.google.com/patent/US11005533B2/en,2021-05-11,https://patentimages.storage.googleapis.com/9e/0b/16/1be4cca16657d2/US11005533.pdf,10
52,Vehicle floor and subassemblies thereof,US10308290B1,US(2017) / US(2017) / US(2017),Dustin L. Dequine / Matthew I. Woods / Kevin P. Makowski / Toni Ristoski,Apple Inc  ,https://patents.google.com/patent/US10308290B1/en,2019-06-04,https://patentimages.storage.googleapis.com/1a/2d/4e/79750dc797bca6/US10308290.pdf,73
53,Guidance of autonomous vehicles in destination vicinities using intent signals,US10372132B2,WO(2017) / US(2017) / CN(2017) / WO(2017) / EP(2017) / US(2019),Scott M. Herz / Sawyer I. Cohen / Samuel B. Gooch / Wolf Kienzle / Karlin Y. Bark / Jack J. WANDERMAN,Apple Inc  ,https://patents.google.com/patent/US10372132B2/en,2019-08-06,https://patentimages.storage.googleapis.com/24/10/8d/dd104358f8217c/US10372132.pdf,43
54,Barrier detection,US10860034B1,US(2018) / US(2018),Tarin Ziyaee / Tarek El-Gaaly,Apple Inc  ,https://patents.google.com/patent/US10860034B1/en,2020-12-08,https://patentimages.storage.googleapis.com/7c/46/d2/8e63bc3273891c/US10860034.pdf,36
55,Lighting system for vehicle interior,US11097658B1,US(2019) / US(2016) / US(2019) / US(2021),Clarisse Mazuir / Arthur Y. Zhang / Matthew E. LAST,Apple Inc  ,https://patents.google.com/patent/US11097658B1/en,2021-08-24,https://patentimages.storage.googleapis.com/bf/89/39/9b0aa67ab74123/US11097658.pdf,38
56,Enabling lidar detection,US20180081058A1,WO(2017) / US(2017) / WO(2017) / US(2021),Micah P. Kalscheur,Apple Inc  ,https://patents.google.com/patent/US20180081058A1/en,2018-03-22,https://patentimages.storage.googleapis.com/8d/d8/22/cf2133be63bb2d/US20180081058A1.pdf,56
57,Remote sensing for detection and ranging of objects,US10712446B1,US(2016) / US(2016) / US(2016),Richard E. Bills / Micah P. Kalscheur / Evan Cull / Ryan A. Gibbs,Apple Inc  ,https://patents.google.com/patent/US10712446B1/en,2020-07-14,https://patentimages.storage.googleapis.com/35/da/5b/e35bb1081258c7/US10712446.pdf,25
58,Enhanced automotive passive ent,US20180234797A1,WO(2018) / CN(2018) / JP(2018) / WO(2018) / US(2018) / DE(2018),Brent M. Ledvina / Robert W. Brumley / Robert William Mayor / William J. Bencze / Alejandro J. MARQUEZ / Shang-Te Yang / Xu Chen / Mohit Narang / Indranil S. Sen,Apple Inc  ,https://patents.google.com/patent/US20180234797A1/en,2018-08-16,https://patentimages.storage.googleapis.com/0e/60/b5/96fa5c86cc91d4/US20180234797A1.pdf,25
59,Voxel-based feature learning network,US10970518B1,US(2018) / US(2018),Yin Zhou / Cuneyt O. Tuzel / Jerremy Holland,Apple Inc  ,https://patents.google.com/patent/US10970518B1/en,2021-04-06,https://patentimages.storage.googleapis.com/c6/4c/3c/0a6f5b8258aae6/US10970518.pdf,13
60,Routing Based on Detected Stops,US20180313657A1,US(2018) / US(2012) / US(2014) / US(2016) / US(2017) / US(2018) / US(2019) / US(2021),Jorge S. Fino,Apple Inc  ,https://patents.google.com/patent/US20180313657A1/en,2018-11-01,https://patentimages.storage.googleapis.com/3c/59/20/c80ee145060760/US20180313657A1.pdf,11
61,Authorized remote control,US10328897B1,US(2016) / US(2016),Bartholomeus C. Nabbe / Tie-Qi Chen / Benjamin B. Lyon,Apple Inc  ,https://patents.google.com/patent/US10328897B1/en,2019-06-25,https://patentimages.storage.googleapis.com/fa/45/6f/1b718c3f3f8661/US10328897.pdf,15
62,Airbag-based occupant safety systems,US10661748B1,US(2018) / US(2018) / US(2020),Alexander M. Zoellner / Jorge C. Fialho / Nathaniel J. Dennis / Rikard Fredriksson,Apple Inc  ,https://patents.google.com/patent/US10661748B1/en,2020-05-26,https://patentimages.storage.googleapis.com/ac/6f/ca/e209caca2457a6/US10661748.pdf,19
63,Watermark recovery using audio and video watermarking,US10218994B2,WO(2016) / US(2016) / WO(2016),Jian Zhao / Rade Petrovic / Joseph M. Winograd,Verance Corp  ,https://patents.google.com/patent/US10218994B2/en,2019-02-26,https://patentimages.storage.googleapis.com/1a/f9/0f/91545c163727d0/US10218994.pdf,6
64,System and method for virtual reality content rating using biometric data,US10402888B2,US(2017) / US(2017),Peter King / Xiang Sun / Aaron Lee / Christopher Peri,Samsung Electronics Co Ltd  ,https://patents.google.com/patent/US10402888B2/en,2019-09-03,https://patentimages.storage.googleapis.com/43/ce/eb/8a118054ec1950/US10402888.pdf,16
65,Wireless Charging Interference Mitigati,US20210135507A1,WO(2020) / US(2020) / US(2020) / WO(2020),Adam L. Schwartz / Ron Rafer C. Floresca / Liang Chen / Zaki Moussaoui,Apple Inc  ,https://patents.google.com/patent/US20210135507A1/en,2021-05-06,https://patentimages.storage.googleapis.com/b3/1c/72/18beb05ac14f20/US20210135507A1.pdf,16
66,System with holographic head-up display,US10866414B2,WO(2016) / WO(2016) / US(2016),Arthur Y. Zhang / Graham B. Myhre / Hyungryul J. Choi / Matthew E. LAST,Apple Inc  ,https://patents.google.com/patent/US10866414B2/en,2020-12-15,https://patentimages.storage.googleapis.com/7e/8c/3c/b668263a960ead/US10866414.pdf,23
67,Vehicle seat with reclining mechanism,US11214180B1,(2020),Ali Tavakoli Targhi / Lukas Satas / Per G. Isaksson / Donald R. Monroe,Apple Inc  ,https://patents.google.com/patent/US11214180B1/en,2022-01-04,https://patentimages.storage.googleapis.com/15/b0/c3/903d3dff9e6fa2/US11214180.pdf,17
68,Autonomous resource selection for vehicle-to-vehicle sidelink communications,US10798673B2,WO(2016) / US(2016) / WO(2016) / TW(2017),Alexey Khoryaev / Sergey Panteleev / Sergey Sosnin / Andrey Chervyakov / Dmitry Belov,Apple Inc  ,https://patents.google.com/patent/US10798673B2/en,2020-10-06,https://patentimages.storage.googleapis.com/1e/a3/f0/75a0f7b45b7093/US10798673.pdf,8
69,Vehicle stability control system,US10384672B1,US(2017) / US(2017),Diomidis KATZOURAKIS / Huibert Mees / Christopher D. Gadda / Stefan Solyom / Johannes A. Huennekens,Apple Inc  ,https://patents.google.com/patent/US10384672B1/en,2019-08-20,https://patentimages.storage.googleapis.com/a6/90/e4/c69bfe4c7f96ab/US10384672.pdf,34
70,Suspension systems,US11179991B1,US(2020) / US(2020),Troy A. CARTER,Apple Inc  ,https://patents.google.com/patent/US11179991B1/en,2021-11-23,https://patentimages.storage.googleapis.com/6d/1f/d0/e096de2f837d55/US11179991.pdf,324
71,Method and system for providing at least one image captured by a scene camera of a vehicle,US10757373B2,WO(2019) / WO(2014) / US(2014) / CN(2015) / CN(2015) / US(2019) / US(2020),Lejing Wang / Thomas Alt,Apple Inc  ,https://patents.google.com/patent/US10757373B2/en,2020-08-25,https://patentimages.storage.googleapis.com/8f/42/b7/2388f6f47b7e52/US10757373.pdf,31
72,,US80082134,-,-,-,https://patents.google.com/patent/US80082134/en,-,//www.google.com/,31
73,Cognitive load routing metric for vehicle guidance,US10627248B2,WO(2017) / US(2017) / WO(2017),Byron B. Han / Jamie P. Carlson / Robert J. Gough,Apple Inc  ,https://patents.google.com/patent/US10627248B2/en,2020-04-21,https://patentimages.storage.googleapis.com/b3/05/99/dd65364489c966/US10627248.pdf,34
74,Optimized resource selection procedures in vehicle-to-vehicle communicatio,US20210160817A1,WO(2017) / WO(2017) / US(2017),Alexey Khoryaev / Sergey Panteleev / Sergey Sosnin / Mikhail Shilov,Apple Inc  ,https://patents.google.com/patent/US20210160817A1/en,2021-05-27,https://patentimages.storage.googleapis.com/a3/d3/b0/906c372a3e89d9/US20210160817A1.pdf,34
75,Electrical connections using vehicle brake lines,US10850683B1,US(2016) / US(2016),Mario Tippelhofer,Apple Inc  ,https://patents.google.com/patent/US10850683B1/en,2020-12-01,https://patentimages.storage.googleapis.com/ce/81/82/ef2f063369d9e8/US10850683.pdf,23
76,Lighting systems,US10222529B1,US(2017) / US(2017) / US(2019) / US(2021),Gregory A. Cohoon / Clarisse Mazuir / Matthew E. LAST,Apple Inc  ,https://patents.google.com/patent/US10222529B1/en,2019-03-05,https://patentimages.storage.googleapis.com/65/76/59/e2e7c793ec97ce/US10222529.pdf,27
77,,US90039570,-,-,-,https://patents.google.com/patent/US90039570/en,-,//www.google.com/,27
78,Ethylene based interpolymers and composition comprising the same,US10160817B2,WO(2015) / EP(2015) / US(2015) / WO(2015),Liam P. Spencer / Sean W. Ewart / David M. Pearson / Lixin Sun,Dow Global Technologies LLC  ,https://patents.google.com/patent/US10160817B2/en,2018-12-25,https://patentimages.storage.googleapis.com/c3/7b/6c/3c2605cedea039/US10160817.pdf,9
79,,US80079272,-,-,-,https://patents.google.com/patent/US80079272/en,-,//www.google.com/,9
80,Passenger vehicle and door structure,US10309132B1,US(2017) / US(2017),Noell G. Johnson / Ibuki Kamei / John Raff / Donald R. Monroe / Albert J. Golko / Phil M. Hobson / David J. Donohue / Jae Young Huh / Matthew L. Brown,Apple Inc  ,https://patents.google.com/patent/US10309132B1/en,2019-06-04,https://patentimages.storage.googleapis.com/25/64/30/216637aa5391b2/US10309132.pdf,31
81,Automatic Configuration of Self-Configurable Environments,US20190023278A1,US(2018) / US(2012) / US(2015) / US(2018),Thomas Ethan Lowry,Apple Inc  ,https://patents.google.com/patent/US20190023278A1/en,2019-01-24,https://patentimages.storage.googleapis.com/61/be/aa/8c5e583d6dac3b/US20190023278A1.pdf,16
82,Active suspension system with energy storage device,US10814690B1,US(2018) / US(2018),Diomidis KATZOURAKIS / Christopher L. Porritt / Johannes A. Huennekens / Huibert Mees / Paul J. Keas,Apple Inc  ,https://patents.google.com/patent/US10814690B1/en,2020-10-27,https://patentimages.storage.googleapis.com/d4/0c/52/ecb78694332611/US10814690.pdf,248
83,Systems and methods for resolving hidden features in a field of vi,US20200342623A1,WO(2020) / WO(2020) / US(2020),Christy F. Cull / Evan C. Cull,Apple Inc  ,https://patents.google.com/patent/US20200342623A1/en,2020-10-29,https://patentimages.storage.googleapis.com/9a/a7/6d/2f35c7abe44494/US20200342623A1.pdf,248
84,Active glare suppression system,US11130391B2,WO(2016) / WO(2016) / US(2016),Hyungryul J. Choi / Arthur Y. Zhang / Cheng Chen / Graham B. Myhre / Malcolm J. Northcott / Matheen M. Siddiqui / Russell Y. Webb / Matthew E. LAST,Apple Inc  ,https://patents.google.com/patent/US11130391B2/en,2021-09-28,https://patentimages.storage.googleapis.com/70/57/2f/05d6fbf3a4d398/US11130391.pdf,17
85,Instrument cluster metadata to support second screen,US10594850B2,US(2018) / US(2016) / US(2018),Joshua C. Weinberg / Thomas R. Powell / David Rix Nelson,Apple Inc  ,https://patents.google.com/patent/US10594850B2/en,2020-03-17,https://patentimages.storage.googleapis.com/c4/30/d8/2f712369c46dc9/US10594850.pdf,30
86,Windows with active layers,US10850666B1,US(2017) / US(2017),Martin Melcher / James R. Wilson / Khadijeh Bayat,Apple Inc  ,https://patents.google.com/patent/US10850666B1/en,2020-12-01,https://patentimages.storage.googleapis.com/c5/f8/2b/ec11244941dd44/US10850666.pdf,11
87,Motion control seating system,US10293718B1,US(2017) / US(2017),Filip Ilievski / John J. Baker / Kathryn C. Zhou / Matthew E. LAST / Randol W. Aikin / Donald J. Novotney / Stephen P. Zadesky,Apple Inc  ,https://patents.google.com/patent/US10293718B1/en,2019-05-21,https://patentimages.storage.googleapis.com/c4/9c/52/09ab8d73e3edbb/US10293718.pdf,20
